,model,d_model,num_heads,seq_len,keops_time_ms,keops_mem_MB,flash_time_ms,flash_mem_MB
0,Llama2-7B,4096,32,128,5.422210693359375,614.79248046875,3.824615478515625,601.3541666666666
1,Llama2-7B,4096,32,256,12.620735168457031,708.3341471354166,8.082771301269531,681.4583333333334
2,Llama2-7B,4096,32,512,31.294679641723633,895.41748046875,16.663503646850586,841.6666666666666
3,Llama2-7B,4096,32,1024,90.78431129455566,1271.2508138020833,32.77335166931152,1162.0833333333333
4,Llama2-7B,4096,32,2048,295.3988552093506,2017.91748046875,74.17140007019043,1802.9166666666667
5,Llama2-7B,4096,32,4096,1055.063009262085,3514.5841471354165,190.42305946350098,3084.5833333333335
6,Llama2-7B,4096,32,8192,3925.0368118286133,6507.91748046875,513.6963367462158,5647.916666666667
7,Llama2-7B,4096,32,16384,15405.845212936401,12494.584147135416,1552.4014949798584,10774.583333333334
8,Llama2-13B,5120,40,128,7.397365570068359,926.2091471354166,5.983638763427734,909.4114583333334
9,Llama2-13B,5120,40,256,17.391300201416016,1043.13623046875,11.907291412353516,1009.5416666666666
10,Llama2-13B,5120,40,512,44.93541717529297,1276.9903971354167,25.60296058654785,1209.8020833333333
11,Llama2-13B,5120,40,1024,129.74019050598145,1744.69873046875,53.43770980834961,1610.3229166666667
12,Llama2-13B,5120,40,2048,395.4035758972168,2680.1153971354165,117.27418899536133,2411.3645833333335
13,Llama2-13B,5120,40,4096,1370.8487033843994,4550.94873046875,275.0331401824951,4013.4479166666665
14,Llama2-13B,5120,40,8192,5055.13768196106,8292.615397135416,714.5071506500244,7217.614583333333
15,Llama2-13B,5120,40,16384,19402.01334953308,15775.94873046875,2117.9996013641357,13625.947916666666
16,Llama2-70B,8192,64,128,17.485809326171875,2244.4591471354165,15.419769287109375,2217.5833333333335
17,Llama2-70B,8192,64,256,39.00008201599121,2431.54248046875,30.677413940429688,2377.7916666666665
18,Llama2-70B,8192,64,512,93.97239685058594,2805.7091471354165,63.80805969238281,2698.2083333333335
19,Llama2-70B,8192,64,1024,251.40061378479004,3554.04248046875,135.0569725036621,3339.0416666666665
20,Llama2-70B,8192,64,2048,719.6775913238525,5050.709147135417,280.3157329559326,4620.708333333333
21,Llama2-70B,8192,64,4096,2381.337785720825,8044.04248046875,628.9188385009766,7184.041666666667
22,Llama2-70B,8192,64,8192,8435.491514205933,14030.709147135416,1531.1065673828125,12310.708333333334
23,Llama2-70B,8192,64,16384,31803.07388305664,26004.04248046875,4164.062833786011,22564.041666666668
